"Student.ID","Enrolled.Student.Count"
"8289645","1"
"8289763","1"
"8289855","1"
"8290249","1"
"8290276","1"
"8290339","1"
"8290855","1"
"8291190","1"
"8291384","1"
"8291591","1"
"8292332","1"
"8292442","1"
"8292446","1"
"8293553","1"
"8293617","1"
"8293789","1"
"8293990","1"
"8294257","1"
"8294329","1"
"8294533","1"
"8294677","1"
"8294785","1"
"8295097","1"
"8295458","1"
"8295572","1"
"8295624","1"
"8296019","1"
"8296091","1"
"8304284","1"
"8304959","1"
"8305176","1"
"8305468","1"
"8305795","1"
"8309047","1"
"8309126","1"
"8311146","1"
"8311871","1"
"8313151","1"
"8313455","1"
"8314453","1"
"8314754","1"
"8315620","1"
"8317414","1"
"8317791","1"
"8318030","1"
"8318744","1"
"8319115","1"
"8319933","1"
"8320803","1"
"8321660","1"
"8321894","1"
"8323387","1"
"8323830","1"
"8324656","1"
"8325028","1"
"8325151","1"
"8325515","1"
"8326128","1"
"8326382","1"
"8327017","1"
"8327627","1"
"8328843","1"
"8328875","1"
"8329214","1"
"8329631","1"
"8330104","1"
"8330667","1"
"8332131","1"
"8332243","1"
"8332399","1"
"8332566","1"
"8332809","1"
"8332899","1"
"8332921","1"
"8333381","1"
"8333453","1"
"8333646","1"
"8334557","1"
"8335143","1"
"8336578","1"
"8338269","1"
"8338485","1"
"8338893","1"
"8339022","1"
"8339335","1"
"8339550","1"
"8339919","1"
"8340310","1"
"8340355","1"
"8340511","1"
"8340526","1"
"8342493","1"
"8350002","1"
"8350888","1"
"8351630","1"
"8354482","1"
"8354519","1"
"8355890","1"
"8357001","1"
"8358602","1"
"8359278","1"
"8359870","1"
"8362430","1"
"8364375","1"
"8365108","1"
"8365422","1"
"8365711","1"
"8366174","1"
"8366385","1"
"8366918","1"
"8367035","1"
"8367545","1"
"8367894","1"
"8367944","1"
"8367955","1"
"8368057","1"
"8368109","1"
"8368121","1"
"8368719","1"
"8369044","1"
"8369067","1"
"8369564","1"
"8370335","1"
"8370460","1"
"8371569","1"
"8371719","1"
"8371741","1"
"8372215","1"
"8372318","1"
"8372669","1"
"8372995","1"
"8373328","1"
"8373418","1"
"8373628","1"
"8373905","1"
"8374059","1"
"8375640","1"
"8376010","1"
"8376089","1"
"8377320","1"
"8377418","1"
"8377632","1"
"8377653","1"
"8378332","1"
"8379553","1"
"8379931","1"
"8380034","1"
"8380912","1"
"8381137","1"
"8381513","1"
"8381924","1"
"8382026","1"
"8382476","1"
"8382573","1"
"8382893","1"
"8383258","1"
"8383490","1"
"8383906","1"
"8384345","1"
"8384407","1"
"8384659","1"
"8385193","1"
"8385483","1"
"8385730","1"
"8386138","1"
"8386377","1"
"8388086","1"
"8388254","1"
"8388320","1"
"8389082","1"
"8389477","1"
"8397628","1"
"8398101","1"
"8398122","1"
"8398216","1"
"8398224","1"
"8398240","1"
"8398291","1"
"8398303","1"
"8398361","1"
"8398381","1"
"8401257","1"
"8429284","1"
"8458965","1"
"8476995","1"
"8521298","1"
"8521862","1"
"Grand Total","834"
NA,NA
NA,"Cohort Academic Year Number is greater than or equal to 2018"
"and","Cohort Semester Name is equal to / is in Fall"
"and","Case When Majors and Concentrations.""Major""= 'Business Analytics' And Concentrations and Thematic Sequences.""Concentration"" = 'Basic Program (no submajor)' Then 'BA Major' When Majors and Concentrations.""Major"" = 'Analytics' And Concentrations and... is equal to / is in BA Major"
"8098858","1"
"8108061","1"
"8109444","1"
"8110017","1"
"8113940","1"
"8115814","1"
"8118995","1"
"8119866","1"
"8125309","1"
"8144976","1"
"8149309","1"
"8151695","1"
"8152749","1"
"8160693","1"
"8166210","1"
"8183049","1"
"8183142","1"
"8185339","1"
"8188789","1"
"8189765","1"
"8190053","1"
"8190645","1"
"8190732","1"
"8193517","1"
"8194067","1"
"8194429","1"
"8196411","1"
"8197248","1"
"8197334","1"
"8198622","1"
"8200937","1"
"8201508","1"
"8201904","1"
"8203154","1"
"8203997","1"
"8204796","1"
"8205621","1"
"8205774","1"
"8206175","1"
"8207043","1"
"8218558","1"
"8223835","1"
"8225982","1"
"8226272","1"
"8226515","1"
"8226542","1"
"8230669","1"
"8231350","1"
"8231569","1"
"8231842","1"
"8232786","1"
