"Student.ID","Enrolled.Student.Count","maxCredits","DegreeObtained","Major","StartingTerm","MostRecentTerm","Cum.UG.Crs.GPA","FirstSemester","AdvancedClasses","ChangedMajor","PrimaryTermCount","TwoMajors"
"8097917","1",43,0,"BA Major",202410,202510,2.96,0,0,0,3,0
"8098459","1",48,0,"BA Major",202410,202510,2.57,0,0,0,3,0
"8098511","1",37,0,"BA Major",202410,202510,3.8,0,0,0,3,0
"8098637","1",70,0,"Accountancy",202410,202510,3.94,0,0,1,3,0
"8098693","1",31,0,"Marketing",202410,202510,3.39,0,0,1,3,0
"8098858","1",31,0,"IS Major",202410,202420,2.4,0,0,0,2,0
"8098995","1",31,0,"BA Major",202410,202510,2.88,0,0,0,3,1
"8099721","1",33,0,"BA Major",202410,202510,2.49,0,0,0,3,0
"8099820","1",29.5,0,"BA Major",202410,202510,3.15,0,0,0,3,0
"8100116","1",33,0,"BA Major",202410,202510,2.94,0,0,1,3,0
"8100342","1",48,0,"BA Major",202410,202510,4,0,0,1,3,0
"8100526","1",33,0,"BA Major",202410,202510,3.73,0,0,1,3,0
"8100549","1",34,0,"BA Major",202410,202510,3.65,0,0,1,3,0
"8100919","1",27.5,0,"BA Major",202410,202510,2.41,0,0,0,3,0
"8101018","1",56,0,"BA Major",202410,202510,3.57,0,0,1,3,0
"8101123","1",35,0,"Finance",202410,202510,3.05,0,0,1,3,0
"8101143","1",36,0,"BA Major",202410,202510,2.92,0,0,0,3,0
"8101331","1",72,0,"BA Major",202410,202510,3.96,0,0,0,3,0
"8101424","1",69,0,"BA Major",202410,202510,3.81,0,0,0,3,0
"8101439","1",48,0,"BA Major",202410,202510,3.6,0,0,0,3,0
"8102153","1",45,0,"BA Major",202410,202510,3.57,0,0,0,3,0
"8102286","1",50,0,"BA Major",202410,202510,3.6,0,0,0,3,0
"8102295","1",54,0,"BA Major",202410,202510,3.31,0,0,0,3,0
"8102400","1",68,0,"BA Major",202410,202510,3.5,0,0,0,3,0
"8102524","1",41,0,"Supply Chain & Operations Mgmt",202410,202510,3.28,0,0,1,3,0
"8102798","1",64,0,"BA Major",202410,202510,2.89,0,0,0,3,0
"8102811","1",21,0,"BA Major",202410,202510,2.11,0,0,0,3,0
"8102842","1",45,0,"Accountancy",202410,202510,3.53,0,0,1,3,0
"8102851","1",53,0,"BA Major",202410,202510,3.69,0,0,0,3,0
"8102908","1",45,0,"Marketing",202410,202510,3.59,0,0,1,3,0
"8103304","1",45,0,"BA Major",202410,202510,3.85,0,0,0,3,0
"8103469","1",53,0,"Accountancy",202410,202510,4,0,0,1,3,0
"8103883","1",31,0,"Business Economics",202410,202510,3.44,0,0,1,3,0
"8103899","1",34,0,"BA Major",202410,202510,3.26,0,0,0,3,0
"8104179","1",29,0,"BA Major",202410,202510,2.46,0,0,0,3,0
"8104279","1",32,0,"BA Major",202410,202510,3.42,0,0,0,3,0
"8104556","1",36,0,"BA Major",202410,202510,3.49,0,0,0,3,0
"8104584","1",62,0,"Accountancy",202410,202510,3.95,0,0,1,3,0
"8104623","1",30,0,"BA Major",202410,202420,3.31,0,0,0,2,0
"8104748","1",34,0,"Finance",202410,202510,3.55,0,0,1,3,0
"8104808","1",56,0,"Supply Chain & Operations Mgmt",202410,202510,3.9,0,0,1,3,0
"8104842","1",37,0,"BA Major",202410,202510,2.81,0,0,0,3,0
"8104880","1",60,0,"BA Major",202410,202510,3.87,0,0,0,3,0
"8105202","1",29,0,"BA Major",202410,202510,3.3,0,0,0,3,0
"8105427","1",34,0,"BA Major",202410,202510,3.46,0,0,1,3,0
"8105588","1",34,0,"CEC",202410,202510,2.99,0,0,1,3,0
"8105593","1",43,0,"BA Major",202410,202510,3.61,0,0,0,3,0
"8105742","1",70,0,"BA Major",202410,202510,3.93,0,0,0,3,0
"8105892","1",34,0,"Accountancy",202410,202510,3.15,0,0,1,3,0
"8106266","1",24,0,"BA Major",202410,202510,2.18,0,0,0,3,0
"8107035","1",36,0,"BA Major",202410,202510,2.99,0,0,0,3,0
"8107364","1",43,0,"BA Major",202410,202420,3.85,0,0,0,2,0
"8107379","1",62,0,"BA Major",202410,202510,4,0,0,1,3,0
"8107437","1",52,0,"Accountancy",202410,202510,3.97,0,0,1,3,0
"8107639","1",23,0,"BA Major",202410,202410,3.38,0,0,0,1,0
"8108061","1",53,0,"IS Major",202410,202510,3.63,0,0,0,3,0
"8108201","1",51,0,"BA Major",202410,202510,3.6,0,0,0,3,0
"8109038","1",36,0,"BA Major",202410,202510,3.23,0,0,0,3,0
"8109428","1",40,0,"BA Major",202410,202510,3.88,0,0,1,3,0
"8109444","1",70,0,"IS Major",202410,202510,3.82,0,0,1,3,0
"8109574","1",53,0,"BA Major",202410,202510,3.79,0,0,0,3,0
"8110017","1",30,0,"Cybersecurity Mgt Major",202410,202510,2.53,0,0,1,3,0
"8110107","1",66,0,"BA Major",202410,202510,3.46,0,0,1,3,0
"8110149","1",56,0,"BA Major",202410,202510,3.73,0,0,0,3,0
"8110213","1",58,0,"BA Major",202410,202510,3.56,0,0,0,3,1
"8110325","1",31,0,"Finance",202410,202510,1.88,0,0,1,3,0
"8111107","1",43,0,"BA Major",202410,202510,3.93,0,0,0,3,0
"8111944","1",56,0,"BA Major",202410,202510,3.34,0,0,0,3,0
"8112120","1",39,0,"BA Major",202410,202510,3.35,0,0,0,3,0
"8112254","1",45,0,"BA Major",202410,202510,2.66,0,0,0,3,0
"8112451","1",89,0,"BA Major",202410,202510,3.88,0,0,0,3,0
"8112497","1",39,0,"BA Major",202410,202510,3.16,0,0,0,3,1
"8112667","1",38,0,"Accountancy",202410,202510,3.82,0,0,1,3,0
"8112942","1",30,0,"BA Major",202410,202510,3.84,0,0,0,3,0
"8113087","1",30,0,"BA Major",202410,202510,3.59,0,0,0,3,0
"8113388","1",59,0,"BA Major",202410,202510,3.77,0,0,0,3,0
"8113623","1",65,0,"BA Major",202410,202510,3.71,0,0,1,3,1
"8113661","1",33,0,"BA Major",202410,202510,3.4,0,0,0,3,0
"8113775","1",70,0,"BA Major",202410,202510,4,0,0,0,3,0
"8113883","1",40,0,"BA Major",202410,202510,3.5,0,0,0,3,0
"8113913","1",26,0,"BA Major",202410,202510,2.7,0,0,0,3,0
"8113940","1",44,0,"IS Major",202410,202510,3.84,0,0,1,3,0
"8113952","1",42,0,"BA Major",202410,202510,2.76,0,0,0,3,0
"8114030","1",33,0,"BA Major",202410,202510,3.76,0,0,1,3,0
"8114059","1",47,0,"BA Major",202410,202510,3.63,0,0,0,3,0
"8114711","1",45,0,"BA Major",202410,202510,3.69,0,0,0,3,0
"8114906","1",46,0,"BA Major",202410,202510,3.25,0,0,0,3,0
"8114983","1",26,0,"Human Capital Mgmt& Leadership",202410,202510,2.8,0,0,1,3,0
"8115221","1",30,0,"BA Major",202410,202420,2.95,0,0,0,2,0
"8115233","1",32,0,"BA Major",202410,202510,2.04,0,0,0,3,0
"8115369","1",54,0,"BA Major",202410,202510,3.95,0,0,0,3,0
"8115647","1",29,0,"BA Major",202410,202510,2.16,0,0,0,3,0
"8115814","1",32,0,"Cybersecurity Mgt Major",202410,202510,2.87,0,0,1,3,0
"8116045","1",56,0,"BA Major",202410,202510,3.53,0,0,0,3,0
"8116163","1",57,0,"BA Major",202410,202510,3.65,0,0,0,3,0
"8116176","1",42,0,"Entrepreneurship",202410,202510,3.69,0,0,1,3,1
"8116670","1",49,0,"Finance",202410,202510,3.56,0,0,1,3,0
"8116997","1",43,0,"BA Major",202410,202510,3.38,0,0,0,3,0
"8117385","1",54,0,"BA Major",202410,202510,3.24,0,0,0,3,0
"8117466","1",59,0,"BA Major",202510,202510,0,1,0,0,1,0
"8118379","1",61,0,"Accountancy",202410,202510,3.87,0,0,1,3,1
