"Student.ID","Term.Code","Degree.Type","Degree","Major","Student.Division.Code","Student.Department.Code","Semesters.to.Degree.Average","AW...Major.Count"
"8367035",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8367545",202120,"Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8367894",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8367894",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8367944",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8367955",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8368057",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8368057",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8368109",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8368109",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8368121",202110,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",7,1
"8368719",202110,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",7,1
"8368719",202110,"Bachelor","B.S. in Business","Finance","FSB","FIN",7,1
"8369044",202310,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",11,1
"8369067",202130,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8369564",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8369564",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8370335",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8370335",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8370460",202120,"Bachelor","Bachelor of Arts","Global & Intercultural Studies","CAS","GIC",8,1
"8370460",202120,"Bachelor","Bachelor of Arts","Strategic Communication","CAS","MJF",8,1
"8371569",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8371719",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8371741",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8372215",202120,"Bachelor","B.S. in Sport Lead & Mgmt","Analytics","*NSD","*NSD",8,1
"8372215",202120,"Bachelor","B.S. in Sport Lead & Mgmt","Sport Leadership & Management","EHS","SLM",8,1
"8372318",202120,"Bachelor","B.S. in Computer Science","Analytics","*NSD","*NSD",8,1
"8372318",202120,"Bachelor","B.S. in Computer Science","Computer Science","CEC","CSE",8,1
"8372669",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8372669",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8372995",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8372995",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8373418",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8373628",202120,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8373905",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8374059",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8375640",202220,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8375640",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8376010",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8376089",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8377320",202120,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8377418",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8377418",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8377632",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8377632",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8377653",202120,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8377653",202120,"Bachelor","B.S. in Business","Fashion","CCA","ART",8,1
"8378332",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8379553",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8379553",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8379931",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8380034",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8380912",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8380912",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8381137",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8381137",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8381513",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8381924",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8382026",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8382476",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8382573",202120,"Bachelor","BA in History of Art & Arch","Art & Architecture History","CCA","ART",8,1
"8382573",202120,"Bachelor","BA in History of Art & Arch","Fashion","CCA","ART",8,1
"8382893",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8383258",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8383258",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8383490",202120,"Bachelor","B.S. in Computer Science","Analytics","*NSD","*NSD",8,1
"8383490",202120,"Bachelor","B.S. in Computer Science","Computer Science","CEC","CSE",8,1
"8383906",202210,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",9,1
"8383906",202210,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",9,1
"8384345",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8384407",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8384407",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8384659",202210,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",9,1
"8385193",202120,"Bachelor","Bachelor of Arts","Analytics","*NSD","*NSD",8,1
"8385193",202120,"Bachelor","Bachelor of Arts","Media and Culture","CAS","MJF",8,1
"8385483",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8385730",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8385730",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8386138",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8386138",202120,"Bachelor","B.S. in Business","Premedical Studies","CAS","*NSD",8,1
"8386377",202215,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",9,1
"8388086",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8388254",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8389082",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8389082",202120,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8389477",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8397628",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398101",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398101",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8398122",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8398122",202120,"Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8398216",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398224",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398240",202110,"Bachelor","B.S. in Kinesiology & Health","Analytics","*NSD","*NSD",7,1
"8398240",202110,"Bachelor","B.S. in Kinesiology & Health","Sport Leadership & Management","EHS","SLM",7,1
"8398291",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8398291",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398303",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398361",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398381",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8398381",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8401257",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8401257",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8429284",202020,"Bachelor","Bachelor of Arts","Analytics","*NSD","*NSD",6,1
"8429284",202020,"Bachelor","Bachelor of Arts","Strategic Communication","CAS","MJF",6,1
"8458965",201920,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8458965",201920,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8476995",201920,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8476995",201920,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8521298",201820,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
