"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr.(MU.and.Non-MU)","Cum.UG.Overall.Earned.CrHr.(MU.and.Non-MU)"
8103469,"202420",16,16,53
8103469,"202510",NA,NA,53
8103883,"202410",16,16,16
8103883,"202420",15,15,31
8103883,"202510",NA,NA,31
8103883,"202515",NA,NA,31
8103899,"202410",15,19,19
8103899,"202420",15,15,34
8103899,"202510",NA,NA,34
8104179,"202410",15,15,15
8104179,"202420",14,14,29
8104179,"202510",0,0,29
8104179,"202515",NA,NA,29
8104279,"202410",17,17,17
8104279,"202420",15,15,32
8104279,"202510",NA,NA,32
8104556,"202410",15,19,19
8104556,"202420",17,17,36
8104556,"202510",NA,NA,36
8104584,"202410",15,47,47
8104584,"202420",15,15,62
8104584,"202510",NA,NA,62
8104584,"202520",NA,NA,62
8104623,"202410",16,16,16
8104623,"202420",14,14,30
8104748,"202410",16,16,16
8104748,"202420",18,18,34
8104748,"202510",NA,NA,34
8104808,"202410",15,34,34
8104808,"202415",4,4,38
8104808,"202420",18,18,56
8104808,"202510",NA,NA,56
8104842,"202410",15,21,21
8104842,"202415",2,2,23
8104842,"202420",14,14,37
8104842,"202510",NA,NA,37
8104880,"202410",16,45,45
8104880,"202420",15,15,60
8104880,"202510",NA,NA,60
8105202,"202410",15,15,15
8105202,"202420",14,14,29
8105202,"202510",NA,NA,29
8105427,"202410",17,17,17
8105427,"202420",17,17,34
8105427,"202510",NA,NA,34
8105588,"202410",16,16,16
8105588,"202420",14,14,30
8105588,"202430",4,4,34
8105588,"202510",NA,NA,34
8105593,"202410",15,27,27
8105593,"202420",16,16,43
8105593,"202510",NA,NA,43
8105742,"202410",17,52,52
8105742,"202420",18,18,70
8105742,"202510",NA,NA,70
8105892,"202410",16,20,20
8105892,"202420",14,14,34
8105892,"202510",NA,NA,34
8106266,"202410",13,13,13
8106266,"202415",3,3,16
8106266,"202420",8,8,24
8106266,"202510",0,0,24
8107035,"202410",14,14,14
8107035,"202415",6,6,20
8107035,"202420",16,16,36
8107035,"202510",0,0,36
8107364,"202410",15,27,27
8107364,"202420",16,16,43
8107379,"202410",16,46,46
8107379,"202420",16,16,62
8107379,"202510",NA,NA,62
8107437,"202410",16,37,37
8107437,"202420",15,15,52
8107437,"202510",NA,NA,52
8107639,"202410",16,23,23
8108201,"202410",15,36,36
8108201,"202420",15,15,51
8108201,"202510",NA,NA,51
8109038,"202410",15,15,15
8109038,"202415",3,3,18
8109038,"202420",13,13,31
8109038,"202430",5,5,36
8109038,"202510",NA,NA,36
8109038,"202520",NA,NA,36
8109170,"202410",15,61,61
8109170,"202415",3,3,64
8109170,"202420",17,17,81
8109170,"202510",NA,NA,81
8109170,"202520",NA,NA,81
8109428,"202410",16,16,16
8109428,"202420",15,15,31
8109428,"202430",6,9,40
8109428,"202510",NA,NA,40
8109574,"202410",16,37,37
8109574,"202420",16,16,53
8109574,"202510",NA,NA,53
8110107,"202410",15,52,52
8110107,"202420",14,14,66
8110107,"202510",NA,NA,66
8110149,"202410",17,43,43
8110149,"202420",13,13,56
8110149,"202510",NA,NA,56
8110213,"202410",16,41,41
8110213,"202420",17,17,58
8110213,"202510",0,0,58
8110213,"202515",NA,NA,58
8110325,"202410",13,13,13
8110325,"202420",18,18,31
8110325,"202510",0,0,31
8110325,"202520",NA,NA,31
8111107,"202410",15,28,28
8111107,"202420",15,15,43
8111107,"202510",NA,NA,43
8111944,"202410",15,34,34
8111944,"202420",16,16,50
8111944,"202430",6,6,56
8111944,"202510",NA,NA,56
8112120,"202410",16,22,22
8112120,"202420",17,17,39
8112120,"202510",NA,NA,39
8112254,"202410",15,27,27
8112254,"202420",15,15,42
8112254,"202430",3,3,45
8112254,"202510",NA,NA,45
8112451,"202410",17,65,65
8112451,"202420",18,18,83
8112451,"202430",6,6,89
8112451,"202510",NA,NA,89
8112497,"202410",16,19,19
8112497,"202415",6,6,25
8112497,"202420",14,14,39
8112497,"202510",NA,NA,39
8112667,"202410",15,24,24
8112667,"202420",14,14,38
8112667,"202510",NA,NA,38
8112942,"202410",15,15,15
8112942,"202420",15,15,30
8112942,"202510",NA,NA,30
8112942,"202520",NA,NA,30
8113087,"202410",15,15,15
8113087,"202420",15,15,30
8113087,"202510",NA,NA,30
8113388,"202410",14,47,47
8113388,"202420",12,12,59
8113388,"202510",NA,NA,59
8113388,"202515",NA,NA,59
8113623,"202410",15,50,50
8113623,"202420",15,15,65
8113623,"202510",NA,NA,65
8113661,"202410",17,17,17
8113661,"202420",16,16,33
8113661,"202510",0,0,33
8113775,"202410",15,49,49
8113775,"202415",3,3,52
8113775,"202420",18,18,70
8113775,"202510",NA,NA,70
8113775,"202520",NA,NA,70
8113883,"202410",17,17,17
8113883,"202415",3,3,20
8113883,"202420",14,14,34
8113883,"202430",6,6,40
8113883,"202510",NA,NA,40
8113883,"202515",NA,NA,40
8113883,"202520",NA,NA,40
8113913,"202410",14,14,14
8113913,"202420",12,12,26
8113913,"202510",NA,NA,26
8113952,"202410",17,25,25
8113952,"202415",2,2,27
8113952,"202420",15,15,42
8113952,"202510",NA,NA,42
8114030,"202410",16,16,16
8114030,"202420",17,17,33
8114030,"202510",NA,NA,33
8114030,"202520",NA,NA,33
8114059,"202410",15,30,30
8114059,"202420",17,17,47
8114059,"202510",NA,NA,47
8114059,"202515",NA,NA,47
8114711,"202410",16,29,29
8114711,"202420",16,16,45
8114711,"202510",NA,NA,45
8114906,"202410",15,24,24
8114906,"202420",15,15,39
8114906,"202430",5,5,44
8114906,"202510",2,2,46
8114983,"202410",14,14,14
8114983,"202420",12,12,26
8114983,"202510",NA,NA,26
8115221,"202410",13,13,13
8115221,"202420",17,17,30
8115233,"202410",17,17,17
8115233,"202420",15,15,32
8115233,"202510",NA,NA,32
8115369,"202410",15,39,39
8115369,"202420",15,15,54
8115369,"202510",NA,NA,54
8115647,"202410",13,13,13
8115647,"202420",14,14,27
8115647,"202510",2,2,29
8116045,"202410",16,41,41
8116045,"202420",15,15,56
8116045,"202510",NA,NA,56
8116163,"202410",16,41,41
8116163,"202420",16,16,57
8116163,"202510",NA,NA,57
8116176,"202410",16,25,25
8116176,"202420",17,17,42
8116176,"202510",NA,NA,42
8116670,"202410",13,33,33
8116670,"202420",16,16,49
8116670,"202510",0,0,49
8116997,"202410",16,29,29
8116997,"202420",14,14,43
8116997,"202510",NA,NA,43
8117385,"202410",16,38,38
8117385,"202420",16,16,54
8117385,"202510",NA,NA,54
8117466,"202510",0,59,59
8117466,"202515",NA,NA,59
8117466,"202520",NA,NA,59
